text,label_index,label_name,dataset
"the pics i just uploaded are the baby pics of my cats . missy is now an adult and a pretty little kitty , but batty is in kitten heaven",1,neutral,test
2 am feedings for the baby are fun when he is all smiles and coos,2,positive,test
we attend in the class just for listening teachers reading on slide . just nonsence,0,negative,test
"today , my semester final exam was really great",2,positive,test
this is sooo crazy i have fever ..,0,negative,test
k will check it out ...,1,neutral,test
"si , no bueno i guess i just don ` t entertain him",0,negative,test
"those who want to go , let them go",0,negative,test
i wish i could get my nails done stupid job,0,negative,test
hope he is ok !,2,positive,test
"thank you for teaching me values and to be a better person each day i love so much , you ` re the best mum in the world",2,positive,test
i want it back now !,1,neutral,test
the girl in the hair salon asked me 'shall i trim your eyebrows ! ' how old do i feel ?,1,neutral,test
home empty handed . no comics found today . i shall now indulge in my cupcakes from magnolia bakery .,1,neutral,test
"is chilled out tonite , so can not spew venom or write funny . seems like these are the only 2 styles she has",1,neutral,test
- we bought ludi her own rug . dogs are the best,2,positive,test
"those who want to go , let them go",0,negative,test
aww you loooove me,2,positive,test
here ` s a brief preview : omg james is creepy in that role ! i ` m scared of him,0,negative,test
im thinking that im going to have fun tonight,2,positive,test
"just in case you wonder , we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",1,neutral,test
"my frist post ... off to find a new car for my parents , exciting !",2,positive,test
"well good morning all , what a wonderful day in the neighborhood thanks for all those that are now following another 60 this morning",2,positive,test
i want to go to music tonight but i lost my voice .,0,negative,test
"i love mine , too . happy mother ? ˉ ? ? ? ? s day to your mom , john taylor . much love to you , too .",2,positive,test
grabbing coffee from then making mom breakfast,1,neutral,test
it was only once for my big brother,1,neutral,test
"we visited worlds longest sea beach , its really amazing time for us",2,positive,test
the exception for a short dude : larenz fineass tate yum,1,neutral,test
cooking with my dad having lots of fun in the kitchen together,2,positive,test
